Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
提示词,"Informational, Commercial",3600,"0.02,0.03,0.02,0.01,0.05,0.03,0.16,1.00,1.00,0.66,0.81,1.00",39,0.00,0.00,"AI Overview, Video, Related searches",71000000
nano banana 手办 提示词,Informational,2900,1.00,19,0.00,0.00,"AI Overview, Video, Video carousel, Related searches",29300
nano banana 提示词,,1900,1.00,,0.00,0.00,,
react 提示词,"Informational, Commercial",1600,"1.00,0.00",,0.00,0.00,"AI Overview, Video, Related searches",1600000
veo3 提示词,"Informational, Commercial",1600,"1.00,1.00,0.00,0.00",28,0.00,0.00,"AI Overview, Image, Image pack, Video, Video carousel, People also ask",52700
个人简历 提示词,Informational,880,"1.00,0.00,0.00,0.00",16,0.00,0.00,"Image pack, Video, Related searches",13300000
stable diffusion 提示词,"Informational, Commercial",720,"0.02,0.01,0.00,0.01,0.00,0.02,0.01,1.00,0.81,0.00,0.00,0.00",14,0.00,0.00,"Image, Video, Related searches",2120000
ai 提示词,"Informational, Commercial",480,"0.01,0.02,0.02,0.03,0.03,0.04,0.04,1.00,0.00,0.00,0.54,0.00",27,0.00,0.00,"Image pack, Video, Related searches",30100000
cursor 提示词,"Informational, Commercial",390,"0.00,0.00,0.00,0.03,0.08,0.01,0.04,0.03,0.03,1.00,0.65,0.00",15,0.00,0.00,"Image pack, Video, Related searches",79
deepseek 提示词,Informational,260,"0.00,0.00,0.00,0.00,1.00,0.31,0.16,0.04,0.04,0.02,0.03,0.02",27,0.00,0.00,"Image pack, Video, Related searches",80
flux 提示词,"Informational, Commercial",260,"0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00",14,0.00,0.00,"Sitelinks, Image pack, Video, Related searches",899000
nsfw 提示词,"Informational, Commercial",210,"0.00,0.00,0.00,0.00,0.03,0.05,0.02,0.00,0.00,1.00,0.00,0.00",15,0.00,0.00,Related searches,88
midjourney 镜头 提示词,"Informational, Commercial",170,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,0.00,0.00,"Image pack, Video",184000
chatgpt 提示词,"Informational, Commercial",90,"0.15,0.07,0.26,0.07,0.34,0.42,1.00,0.26,0.19,0.26,0.26,0.34",33,0.00,0.00,"Video, Related searches",4600000
midjourney 提示词,"Informational, Commercial",70,"0.04,0.24,0.43,0.19,1.00,0.43,0.24,0.00,0.19,0.09,0.00,0.00",5,0.00,0.00,"Image pack, Video, Related searches",1400000
sora 提示词,Informational,50,"0.07,0.26,0.19,1.00,0.07,0.07,0.07,0.07,0.07,0.00,0.00,0.00",8,0.00,0.00,"Image pack, Video, Related searches",86
提示词 工程,Informational,50,"1.00,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",43,0.00,0.00,"Sitelinks, Video, Related searches",8440000
wan2.1 提示词,,30,"0.04,0.09,0.04,0.04,0.09,0.23,1.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
提示词 prompt,,30,"0.14,0.28,1.00,0.14,0.28,0.14,0.50,0.07,0.07,0.14,0.07,0.07",,0.00,0.00,,
chilloutmix 提示词,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.50,0.50,0.50,0.50,0.50",,0.00,0.00,,
midjourney 绝区零 提示词,,20,"1.00,0.00",,0.00,0.00,,
sd 提示词,,20,"1.00,0.80,0.80,1.00,0.40,0.40,0.40,0.00,0.20,0.00,0.00,0.00",,0.00,0.00,,
veo 3 提示词,,20,"1.00,0.33",,0.00,0.00,,
agent 提示词,,10,"0.00,0.00,1.00",,0.00,0.00,,
ai 预测分析 足球 提示词,,10,"1.00,0.00",,0.00,0.00,,
banana 提示词,,10,1.00,,0.00,0.00,,
chatgpt stable diffusion 提示词,,10,"1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
claude 提示词,,10,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.50,0.50,0.50",,0.00,0.00,,
comfyui 提示词,,10,"0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.50",,0.00,0.00,,
dall e3 提示词,,10,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
dalle3 提示词,,10,"1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.45,0.00,0.00,0.00,0.00",,0.00,0.00,,
gemini 2.5 pro 提示词,,10,1.00,,0.00,0.00,,
github 提示词,,10,"1.00,1.00,0.00",,0.00,0.00,,
gpt 提示词,,10,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
gpt4 提示词,,10,"0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.50,0.00,0.00,0.00,0.00",,0.00,0.00,,
kontext 提示词,,10,"1.00,0.00",,0.00,0.00,,
manus 提示词,,10,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.11,0.11,0.11,0.22,0.11",,0.00,0.00,,
midjourney holographic 提示词,,10,"0.50,1.00,0.00",,0.00,0.00,,
prompt 提示词,,10,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
recraft 提示词,,10,"0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.50,0.00,0.50,0.00,0.50",,0.00,0.00,,
sdxl 提示词,,10,"0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.50",,0.00,0.00,,
stable diffusion nsfw 提示词,,10,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
stable-diffusion 3 提示词,,10,"1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
trae 6a原则 提示词,,10,1.00,,0.00,0.00,,
wan2.2 提示词,,10,1.00,,0.00,0.00,,
windsurf 提示词,,10,"0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.50,0.50,1.00,0.50,1.00",,0.00,0.00,,
专业论文 提示词 github,,10,1.00,,0.00,0.00,,
吴恩达 提示词,,10,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
提示词 英文,,10,"1.00,0.00",,0.00,0.00,,
0penprompt 提示词,,0,"1.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
17岁 上海 提示词,,0,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
ai nsfw 提示词,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
ai 婚礼 手绘 提示词,,0,"1.00,0.00,0.00",,0.00,0.00,,
ai 投资策略 提示词,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
ai 跑团 提示词,,0,"1.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
ai 镜头画面描述大师 提示词,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
ai推文视频 提示词,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
ai漫画推文 提示词,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
bbox 提示词,,0,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
chatgpt 提示词 c,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
chatgpt 提示词 文言文翻译,,0,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
chatgpt 提示词 生活医生,,0,"1.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
chatgpt写公众号文章 提示词,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
claude 提示词 分批提交,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
clip 文本编码器 提示词,,0,"1.00,0.00,0.00,0.00",,0.00,0.00,,
comfyui 提示词 避免脸崩,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00",,0.00,0.00,,
cursor ai 提示词,,0,"1.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
cursor c 提示词,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
cursor java rule 提示词,,0,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
eagle 提示词,,0,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
eqmi 提示词,,0,"1.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
flux nude 提示词,,0,"1.00,0.00,0.00,0.00",,0.00,0.00,,
flux 提示词 规则,,0,"1.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
gemini 提示词,,0,"1.00,0.00,0.00,0.00",,0.00,0.00,,
glm-4-flash 提示词,,0,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
google 提示词,,0,"1.00,0.00,0.00",,0.00,0.00,,
gpt4 java 代码优化 提示词,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
gpt40生图 提示词,,0,"1.00,0.00",,0.00,0.00,,
grok 提示词,,0,"1.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
html input 提示词,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
kimi copilot - 网页总结助手 提示词,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
kimi 提示词,,0,"0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
langchain react agent 提示词,,0,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
mcp 提示词,,0,"1.00,0.00,0.00",,0.00,0.00,,
midjourney 人像摄影 提示词,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
mj 关羽青龙偃月刀描述 提示词,,0,"1.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
nl2sql 提示词,,0,"1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
novelai3 提示词,,0,"1.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
openai 吉卜力 提示词,,0,"1.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
stabilityai/stable-diffusion-3-medium 提示词,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
stable diffusion 18 提示词,,0,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
stable diffusion 去衣 提示词,,0,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
