Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
免费vpn,Informational,6600,"0.44,1.00,0.36,0.36,0.24,0.16,0.19,0.36,0.29,0.44,0.54,0.54",57,0.00,0.00,"Sitelinks, AI Overview, Video, Knowledge panel, Related searches, Ads bottom, Ads middle",48800000
免费vpn ios,,20,"1.00,1.00,1.00,1.00,1.00,0.50,0.50,0.50,1.00,1.00,0.00,0.00",,0.00,0.00,,
免费vpn 中国,,20,"0.18,1.00,0.18,0.18,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
免费vpn 合法 2025,,20,1.00,,0.00,0.00,,
免费vpn 大陸,,20,"1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.50,0.50,0.50,0.50,0.50",,0.00,0.00,,
免费vpn 推荐 2025,,20,"0.28,0.00,0.00,1.00",,0.00,0.00,,
免费vpn 插件,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00",,0.00,0.00,,
android 免费vpn,,10,"1.00,1.00,1.00,0.00,1.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
app store 免费vpn,,10,"1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
chrome 免费vpn,,10,"1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
ios 免费vpn,,10,"0.42,0.17,1.00,0.58,0.42,0.00,0.17,0.00,0.00,0.00,0.17,0.00",,0.00,0.00,,
iphone 免费vpn,,10,"1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
linux 免费vpn,,10,"1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
mac 免费vpn,,10,"1.00,1.00,1.00,1.00,1.00,0.50,0.50,0.50,0.50,0.50,0.00,0.50",,0.00,0.00,,
macbook 免费vpn,,10,"1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
opera 免费vpn,,10,"1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
pc 免费vpn,,10,"1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
win10 免费vpn,,10,"0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
免费vpn apk,,10,"1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00",,0.00,0.00,,
免费vpn app,,10,"1.00,1.00,1.00,1.00,1.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
免费vpn d,,10,"1.00,0.00",,0.00,0.00,,
免费vpn for mac,,10,"1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
免费vpn ios安装包,,10,"1.00,1.00,1.00,1.00,1.00,0.50,0.00,0.50,0.50,0.00,0.00,0.00",,0.00,0.00,,
免费vpn mac,,10,"1.00,1.00,1.00,1.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.50",,0.00,0.00,,
免费vpn pc,,10,"0.00,0.50,0.00,0.50,0.00,0.50,0.50,1.00,0.50,0.50,0.00,0.50",,0.00,0.00,,
免费vpn pc版,,10,"0.50,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
