Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
梯子,Informational,1600,"0.82,1.00,0.44,0.44,0.55,0.44,0.55,0.44,0.44,0.44,0.65,0.55",40,0.39,0.18,"Image, Video, People also ask, Knowledge panel, Related searches",32800000
梯子 英文,Informational,260,"0.65,0.80,0.65,0.80,0.65,0.80,0.65,1.00,0.80,0.80,0.80,0.80",23,0.00,0.00,"Instant answer, Image pack, Video, Related searches",2640000
cloudflare 梯子,"Informational, Commercial",50,"0.14,0.14,0.14,0.78,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14",3,0.00,0.00,Related searches,91700
好 用 的 梯子,Informational,50,"0.36,0.17,0.26,0.07,0.36,0.81,0.00,0.62,0.62,0.81,1.00,0.81",6,1.17,0.42,"AI Overview, Image pack, Video, Related searches, Ads bottom",10
帮 唐僧 搭 梯子 脱险,"Informational, Commercial",50,"0.23,0.11,0.23,1.00,0.52,0.52,0.11,0.11,0.11,0.11,0.11,0.00",11,0.00,0.00,"Image pack, Video, Related searches",16
梯子 加速,Informational,50,"0.17,0.17,1.00,0.17,0.81,0.17,0.81,0.17,0.17,0.17,0.17,0.17",11,0.00,0.00,"Image pack, Video, Related searches",6770000
梯子 推荐,"Informational, Transactional",50,"0.23,0.00,0.33,0.52,0.19,0.04,0.00,0.33,0.42,0.23,1.00,0.80",20,1.43,0.11,"Video, People also ask, Related searches",10300000
梯子 是 什么 意思,Informational,50,"0.18,0.36,1.00,0.18,0.64,0.36,1.00,0.18,0.00,0.00,0.18,0.18",9,0.00,0.00,"Featured snippet, Image pack, Video, People also ask, Related searches",70
伸缩 梯子,Informational,40,"1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",10,0.00,0.57,"Sitelinks, Image, Image pack, Video",85
梯子 github,"Navigational, Transactional",40,"0.14,0.14,0.14,0.14,0.64,1.00,0.64,0.14,0.14,0.14,0.14,0.14",50,0.00,0.00,"Sitelinks, Video, Related searches",1280000
梯子 什么 意思,Informational,40,"0.14,0.14,0.00,0.64,0.28,1.00,0.14,0.14,0.14,0.14,0.14,0.00",12,0.00,0.00,"Instant answer, Image pack, Video, People also ask, Related searches",4090000
梯子 工具,"Informational, Commercial",40,"0.18,0.18,0.18,1.00,0.36,0.81,0.36,0.18,0.18,0.18,0.18,0.18",19,0.00,0.00,"Image pack, Video, Related searches",8490000
梯子 机场,"Informational, Transactional",40,"0.13,1.00,0.78,0.13,0.50,0.13,0.13,0.13,0.13,0.13,0.13,0.13",25,0.00,0.01,"Image, Video, Related searches",2500000
梯子 酒,Informational,40,"1.00,0.44,0.22,0.44,0.78,0.22,0.22,0.22,0.22,0.22,0.22,0.22",15,0.00,0.00,"AI Overview, Image, Image pack, Video, See results about",2650000
稳定 的 梯子,"Informational, Transactional",40,"0.77,1.00,0.22,1.00,0.44,0.77,0.77,0.22,0.22,0.22,0.22,0.22",23,1.20,0.29,"Image pack, Video, Related searches, Ads top",89
中国 梯子,,30,"0.22,0.22,0.22,0.77,1.00,0.22,0.22,0.22,0.22,0.22,0.22,0.22",,1.98,0.68,,
便宜 梯子,,30,"0.18,0.18,0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",,0.00,0.01,,
便宜 的 梯子,,30,"0.44,0.22,0.22,0.22,1.00,0.22,0.44,0.22,0.22,0.22,0.22,0.22",,0.00,0.02,,
免费 梯子,"Informational, Commercial",30,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,0.35,0.35,1.00",29,0.67,0.09,"Sitelinks, Image pack, Video, People also ask, Related searches",8320000
墨西哥 梯子,,30,"1.00,0.00,0.00,0.11,0.00,0.41,0.23,0.11,0.00,0.00,0.11,0.11",,0.00,0.00,,
小 梯子,,30,"0.14,0.14,0.28,0.14,0.28,0.14,1.00,0.14,0.14,0.14,0.14,0.14",,0.00,0.96,,
手机 免费 梯子,,30,"0.22,0.22,1.00,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22",,0.00,0.00,,
搭 梯子 vps 推荐,"Informational, Commercial",30,"0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,2.61,0.24,"Sitelinks, Image pack, Video, Related searches",94
梯子 回国,,30,"0.22,0.44,0.22,0.22,0.22,1.00,0.22,0.22,0.22,0.22,0.22,0.22",,0.00,0.05,,
梯子 搭建,,30,"1.00,0.14,0.14,0.14,0.50,0.14,0.14,0.14,0.14,0.14,0.14,0.14",,0.00,0.00,,
android 梯子,,20,"1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00",,0.00,0.00,,
aws 梯子,,20,"0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00",,0.00,0.10,,
azure 梯子,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00",,0.00,0.00,,
chatgpt 梯子,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.00,,
clash 梯子,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.01,,
google cloud 梯子,,20,"1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00",,0.00,0.00,,
gpt 梯子,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.07,,
ikea 梯子,,20,"1.00,1.00,0.00,1.00,0.50,1.00,1.00,1.00,1.00,1.00,0.00,1.00",,0.00,1.00,,
ios 梯子,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.09,,
ipad 梯子,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.00,,
iphone 梯子,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,1.07,0.32,,
linux 梯子,,20,"0.60,0.20,0.40,0.20,1.00,0.60,0.20,0.40,0.40,0.40,0.40,0.40",,0.00,0.02,,
mac 梯子,,20,"0.50,0.50,0.50,0.50,1.00,0.50,0.00,0.50,0.50,0.50,0.50,0.50",,0.00,0.19,,
macos 梯子,,20,"0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.00,,
minecraft 梯子,,20,"0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.00,,
netflix 梯子,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00",,0.00,0.00,,
pc 梯子,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.15,,
ssr 梯子,,20,"1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00",,0.00,0.00,,
supreme 梯子,,20,"1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.43,,
telegram 梯子,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.00,,
trojan 梯子,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.00,,
v2ray 梯子,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.00,,
vpn 梯子,,20,"1.00,0.18,0.18,0.18,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
vps 搭 梯子,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.29,,
vps 梯子,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.00,,
ヤコブ の 梯子,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.00,,
上网 梯子,,20,"1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.14,,
俄罗斯 梯子,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.29,,
天使 の 梯子,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.00,,
天使 の 梯子 スピリチュアル 意味,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00",,0.00,0.00,,
如何 搭 梯子,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.00,,
安全 梯子,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.00,,
家用 梯子,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
怎么 挂 梯子,,20,"0.33,1.00,1.00,1.00,0.00,0.33,0.00,0.66,0.66,0.66,0.66,0.66",,0.00,0.09,,
