Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
科学上网,Informational,6600,"0.81,0.54,0.66,1.00,0.54,0.81,1.00,0.66,0.81,0.54,0.54,0.44",47,0.00,0.00,"Sitelinks, Image, Video, Knowledge panel, Related searches",15200000
istoreos 科学上网,Informational,2400,"0.00,0.00,0.00,0.00,0.00,0.81,1.00,0.65,0.81,1.00,0.81,0.81",29,0.00,0.00,"AI Overview, Video, Related searches",8080
openwrt 科学上网,Informational,1600,"1.00,0.54,0.00,0.43,0.00,0.00,0.43,0.54,0.00",8,0.00,0.00,"AI Overview, Image pack, Video, Video carousel, Related searches",467000
梅林固件 科学上网,"Informational, Transactional",590,"0.00,0.00,0.00,0.00,0.00,0.00,0.65,0.00,1.00,0.65,0.00,0.00",24,0.00,0.00,"Image pack, Video, Related searches",85
2025 科学上网 协议,Informational,480,"1.00,0.00,0.00,0.00,0.00",27,0.00,0.00,"Sitelinks, Image pack, Video, Video carousel, Related searches",3910000
ikuai 科学上网,"Informational, Transactional",320,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00",9,0.00,0.00,"Image, Image pack, Video, Related searches",81
istore 科学上网,Informational,320,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",9,0.00,0.00,"Image pack, Video, Related searches",53
h3c 科学上网,Informational,210,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",4,0.00,0.00,"Image, Image pack, Video, Related searches",238000
爱快 科学上网,"Informational, Transactional",170,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00",21,0.00,0.00,"Sitelinks, Image, Image pack, Video, Related searches",2060000
ac68u 科学上网,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00",,0.00,0.00,,
