Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
翻墙,"Informational, Transactional",5400,"1.00,0.44,1.00,1.00,1.00,0.54,0.66,0.44,0.66,0.66,0.54,0.66",48,0.00,0.00,"Image, Image pack, Video, Video carousel, Knowledge panel, Related searches, Ads top, Ads bottom",92000000
mac 翻墙,Informational,590,"0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",31,0.00,0.00,"Sitelinks, Image pack, Video, Related searches, Ads bottom, Ads middle",3670000
群晖 翻墙,"Informational, Transactional",390,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",14,0.00,0.00,"AI Overview, Image pack, Video, Related searches",772000
nas 翻墙,Informational,260,"0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",23,0.00,0.00,"Image pack, Video, Related searches",97
ios 翻墙,Informational,210,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00",36,0.00,0.00,"Sitelinks, Image pack, Video, Related searches",7540000
tailscale 翻墙,"Informational, Commercial",170,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00",2,0.00,0.00,"Sitelinks, Image pack, Video, Related searches",61
cloudflare 翻墙,"Informational, Commercial",140,"0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",20,0.00,0.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches",468000
iphone 翻墙,Informational,140,"0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",36,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",4380000
git 翻墙,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.50,0.50,0.50,0.50,0.50",,0.00,0.00,,
openvpn 翻墙,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00",,0.00,0.00,,
谷爱凌 翻墙,,20,"1.00,0.07,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.00,0.00",,0.00,0.00,,
